Id,Title,Category,Interaction,Priority,State,Description,Justification,NIST Controls
41,Elevation Using Impersonation,Elevation Of Privilege,Utente->Browser,Low,Not Applicable,Web Application may be able to impersonate the context of Human User in order to gain additional privilege.,Richiesta autenticazione.,IA-2 Identification and Authentication|AC-6 Least Privilege
40,Cross Site Scripting,Tampering,Utente->Browser,Medium,Mitigated,The web server 'Web Application' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,FILENAME opportunamente sanificato. Non riceve altro input controllato dall'utente.,SI-10 Information Input Validation|SC-7 Boundary Protection
39,Spoofing the Human User External Entity,Spoofing,Utente->Browser,Medium,Mitigated,Human User may be spoofed by an attacker and this may lead to unauthorized access to Web Application. Consider using a standard authentication mechanism to identify the external entity.,"Autenticazione con Keycloak, MFA, Brute force detection, requisiti minimi sulle password e OAuth2.0",IA-2 Identification and Authentication|IA-5 Authenticator Management|AC-7 Unsuccessful Logon Attempts
34,Weakness in SSO Authorization,Elevation Of Privilege,Deploy Docker,Low,Not Applicable,Common SSO implementations such as OAUTH2 and OAUTH Wrap are vulnerable to MitM attacks.,"Localhost, nessun SSO",IA-2 Identification and Authentication|SC-8 Transmission Confidentiality and Integrity
35,Spoofing the Keycloak External Entity,Spoofing,HTTPS Keycloak->Flask,High,Needs Investigation,Keycloak may be spoofed by an attacker and this may lead to unauthorized access to Flask Server. Consider using a standard authentication mechanism to identify the external entity.,Autenticazione mutua tra Flask e Keycloak.,IA-3 Device Identification and Authentication|SC-8 Transmission Confidentiality and Integrity
36,Cross Site Scripting,Tampering,HTTPS Keycloak->Flask,Medium,Not Applicable,The web server 'Flask Server' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,Nessun input controllato dall'utente in questa fase.,SI-10 Information Input Validation|SC-7 Boundary Protection
37,Elevation Using Impersonation,Elevation Of Privilege,HTTPS Keycloak->Flask,High,Not Applicable,Flask Server may be able to impersonate the context of Keycloak in order to gain additional privilege.,,AC-3 Access Enforcement|IA-2 Identification and Authentication
38,Weakness in SSO Authorization,Elevation Of Privilege,HTTPS Flask->Keycloak,Medium,Not Applicable,Common SSO implementations such as OAUTH2 and OAUTH Wrap are vulnerable to MitM attacks.,Comunicazione su interfaccia di loopback.,IA-2 Identification and Authentication|SC-8 Transmission Confidentiality and Integrity
43,Elevation Using Impersonation,Elevation Of Privilege,HTTPS Browser->Flask,Low,Not Applicable,Flask Server may be able to impersonate the context of Web Application in order to gain additional privilege.,,AC-3 Access Enforcement|IA-2 Identification and Authentication
44,Flask Server Process Memory Tampered,Tampering,HTTPS Flask->Browser,Low,Not Applicable,"If Flask Server is given access to memory, such as shared memory or pointers, or is given the ability to control what Web Application executes (for example, passing back a function pointer.), then Flask Server can tamper with Web Application. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",Nessun accesso a shared memory o puntatori.,SI-7 Software Integrity|SC-39 Process Isolation
45,Cross Site Scripting,Tampering,HTTPS Flask->Browser,Low,Not Applicable,The web server 'Web Application' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,"Nessun input, inoltre XSS su localhost non porta benefici per un potenziale attaccante.",SI-10 Information Input Validation|SC-7 Boundary Protection
46,Elevation Using Impersonation,Elevation Of Privilege,HTTPS Flask->Browser,Low,Not Applicable,Web Application may be able to impersonate the context of Flask Server in order to gain additional privilege.,,AC-3 Access Enforcement|IA-2 Identification and Authentication
47,Weakness in SSO Authorization,Elevation Of Privilege,Browser->Keycloak,High,Needs Investigation,Common SSO implementations such as OAUTH2 and OAUTH Wrap are vulnerable to MitM attacks.,Necessita mutua autenticazione,IA-2 Identification and Authentication|SC-8 Transmission Confidentiality and Integrity
48,Spoofing the Keycloak External Entity,Spoofing,Keycloak->Browser,Medium,Needs Investigation,Keycloak may be spoofed by an attacker and this may lead to unauthorized access to Web Application. Consider using a standard authentication mechanism to identify the external entity.,"Come ID:47, serve autenticazione mutua.",IA-3 Device Identification and Authentication|SC-8 Transmission Confidentiality and Integrity
49,Cross Site Scripting,Tampering,Keycloak->Browser,Low,Not Applicable,The web server 'Web Application' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,SI-10 Information Input Validation|SC-7 Boundary Protection
50,Elevation Using Impersonation,Elevation Of Privilege,Keycloak->Browser,Low,Not Applicable,Web Application may be able to impersonate the context of Keycloak in order to gain additional privilege.,,AC-3 Access Enforcement|IA-2 Identification and Authentication
51,Spoofing the Web Application Process,Spoofing,Utente->Browser,Medium,Mitigated,Web Application may be spoofed by an attacker and this may lead to information disclosure by Human User. Consider using a standard authentication mechanism to identify the destination process.,Certificato SSL: l'utente può verificare di essere connesso ad un host fidato.,SC-13 Cryptographic Protection|IA-3 Device Identification and Authentication
52,Potential Lack of Input Validation for Web Application,Tampering,Utente->Browser,Medium,Mitigated,Data flowing across Generic Data Flow may be tampered with by an attacker. This may lead to a denial of service attack against Web Application or an elevation of privilege attack against Web Application or an information disclosure by Web Application. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,FILENAME opportunamente validato e sanificato. Nessun altro input da parte dell'utente.,SI-10 Information Input Validation|SC-7 Boundary Protection
53,Potential Data Repudiation by Web Application,Repudiation,Utente->Browser,High,Needs Investigation,"Web Application claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",Sessioni memorizzate su Keycloak,AU-2 Audit Events|AU-3 Content of Audit Records
54,Data Flow Sniffing,Information Disclosure,Utente->Browser,Medium,Mitigated,"Data flowing across Generic Data Flow may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",Protezione HTTPS,SC-8 Transmission Confidentiality and Integrity|SC-13 Cryptographic Protection
55,Potential Process Crash or Stop for Web Application,Denial Of Service,Utente->Browser,Medium,Mitigated,"Web Application crashes, halts, stops or runs slowly; in all cases violating an availability metric.",Basso MTTR: tempi di deploy dell'ordine dei secondi.,SC-5 Denial of Service Protection|CP-2 Contingency Plan
56,Data Flow Generic Data Flow Is Potentially Interrupted,Denial Of Service,Utente->Browser,Medium,Not Applicable,An external agent interrupts data flowing across a trust boundary in either direction.,,SC-5 Denial of Service Protection|CP-2 Contingency Plan
57,Web Application May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Utente->Browser,Medium,Mitigated,Human User may be able to remotely execute code for Web Application.,"No RCE: non è possibile utilizzare input pilotato da utente, stesso dicasi per File Injection o Local File Inclusion",SI-10 Information Input Validation|SC-7 Boundary Protection|AC-6 Least Privilege
58,Elevation by Changing the Execution Flow in Web Application,Elevation Of Privilege,Utente->Browser,Medium,Mitigated,An attacker may pass data into Web Application in order to change the flow of program execution within Web Application to the attacker's choosing.,,SI-10 Information Input Validation|AC-6 Least Privilege
59,Cross Site Request Forgery,Elevation Of Privilege,Utente->Browser,High,Needs Investigation,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting. The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",Same Origin Policy,SC-7 Boundary Protection|SI-10 Information Input Validation|SC-23 Session Authenticity
60,Spoofing of the Human User External Destination Entity,Spoofing,Browser->Utente,Medium,Mitigated,Human User may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of Human User. Consider using a standard authentication mechanism to identify the external entity.,Keycloak e JWT,IA-2 Identification and Authentication|SC-8 Transmission Confidentiality and Integrity
61,External Entity Human User Potentially Denies Receiving Data,Repudiation,Browser->Utente,Medium,Mitigated,"Human User claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",Logging sul server Flask,AU-2 Audit Events|AU-3 Content of Audit Records
62,Data Flow Generic Data Flow Is Potentially Interrupted,Denial Of Service,Browser->Utente,Medium,Not Applicable,An external agent interrupts data flowing across a trust boundary in either direction.,,SC-5 Denial of Service Protection|CP-2 Contingency Plan
218,Potential Data Repudiation by Web Application,Repudiation,Keycloak->Browser,Low,Mitigated,"Web Application claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",Flask logging,AU-2 Audit Events|AU-3 Content of Audit Records
217,Potential Lack of Input Validation for Web Application,Tampering,Keycloak->Browser,Medium,Mitigated,Data flowing across Generic Data Flow may be tampered with by an attacker. This may lead to a denial of service attack against Web Application or an elevation of privilege attack against Web Application or an information disclosure by Web Application. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,,SI-10 Information Input Validation|SC-7 Boundary Protection
216,Spoofing the Web Application Process,Spoofing,Keycloak->Browser,Medium,Needs Investigation,Web Application may be spoofed by an attacker and this may lead to information disclosure by Keycloak. Consider using a standard authentication mechanism to identify the destination process.,Autenticazione mutua.,IA-3 Device Identification and Authentication|SC-8 Transmission Confidentiality and Integrity
215,Data Flow Generic Data Flow Is Potentially Interrupted,Denial Of Service,Browser->Keycloak,Low,Not Applicable,An external agent interrupts data flowing across a trust boundary in either direction.,,SC-5 Denial of Service Protection|CP-2 Contingency Plan
214,External Entity Keycloak Potentially Denies Receiving Data,Repudiation,Browser->Keycloak,Low,Mitigated,"Keycloak claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,AU-2 Audit Events|AU-3 Content of Audit Records
213,Spoofing of the Keycloak External Destination Entity,Spoofing,Browser->Keycloak,Low,Not Applicable,Keycloak may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of Keycloak. Consider using a standard authentication mechanism to identify the external entity.,Connessione da localhost con certificato.,IA-3 Device Identification and Authentication|SC-8 Transmission Confidentiality and Integrity|SC-23 Session Authenticity
212,Data Flow Deploy Is Potentially Interrupted,Denial Of Service,Deploy Docker,Low,Not Applicable,An external agent interrupts data flowing across a trust boundary in either direction.,Localhost,SC-5 Denial of Service Protection|CP-2 Contingency Plan
211,External Entity Keycloak Potentially Denies Receiving Data,Repudiation,Deploy Docker,Low,Not Applicable,"Keycloak claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,AU-2 Audit Events|AU-3 Content of Audit Records|AU-12 Audit Generation
210,Spoofing of the Keycloak External Destination Entity,Spoofing,Deploy Docker,Low,Not Applicable,Keycloak may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of Keycloak. Consider using a standard authentication mechanism to identify the external entity.,,IA-3 Device Identification and Authentication|SC-8 Transmission Confidentiality and Integrity|SC-23 Session Authenticity
189,Potential Data Repudiation by Flask Server,Repudiation,HTTPS Keycloak->Flask,Medium,Mitigated,"Flask Server claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",Sessioni loggate su Keycloak,AU-2 Audit Events|AU-3 Content of Audit Records|AU-12 Audit Generation
190,Potential Process Crash or Stop for Flask Server,Denial Of Service,HTTPS Keycloak->Flask,Low,Not Applicable,"Flask Server crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,SC-5 Denial of Service Protection|CP-2 Contingency Plan|SI-13 Predictable Failure Prevention
191,Data Flow HTTPS Is Potentially Interrupted,Denial Of Service,HTTPS Keycloak->Flask,Low,Not Applicable,An external agent interrupts data flowing across a trust boundary in either direction.,Nessun agente esterno.,SC-5 Denial of Service Protection|CP-2 Contingency Plan|SC-7 Boundary Protection
192,Flask Server May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,HTTPS Keycloak->Flask,Low,Not Applicable,Keycloak may be able to remotely execute code for Flask Server.,,SI-10 Information Input Validation|AC-3 Access Enforcement|SI-7 Software and Information Integrity
193,Elevation by Changing the Execution Flow in Flask Server,Elevation Of Privilege,HTTPS Keycloak->Flask,Low,Mitigated,An attacker may pass data into Flask Server in order to change the flow of program execution within Flask Server to the attacker's choosing.,"Un attaccante non può passare dati al server che non siano file, che verranno immediatamente cifrati prima di essere memorizzati.",SI-10 Information Input Validation|AC-3 Access Enforcement|SI-7 Software and Information Integrity
194,Spoofing of the Keycloak External Destination Entity,Spoofing,HTTPS Flask->Keycloak,High,Needs Investigation,Keycloak may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of Keycloak. Consider using a standard authentication mechanism to identify the external entity.,Autenticazione mutua tra Flask e Keycloak.,IA-3 Device Identification and Authentication|SC-8 Transmission Confidentiality and Integrity|SC-23 Session Authenticity
195,External Entity Keycloak Potentially Denies Receiving Data,Repudiation,HTTPS Flask->Keycloak,Low,Needs Investigation,"Keycloak claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",Keycloak fa logging.,AU-2 Audit Events|AU-3 Content of Audit Records|AU-12 Audit Generation
196,Data Flow HTTPS Is Potentially Interrupted,Denial Of Service,HTTPS Flask->Keycloak,Low,Not Applicable,An external agent interrupts data flowing across a trust boundary in either direction.,,SC-5 Denial of Service Protection|CP-2 Contingency Plan|SC-7 Boundary Protection
221,Data Flow Generic Data Flow Is Potentially Interrupted,Denial Of Service,Keycloak->Browser,Low,Not Applicable,An external agent interrupts data flowing across a trust boundary in either direction.,,SC-5 Denial of Service Protection|CP-2 Contingency Plan|SC-7 Boundary Protection
222,Web Application May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Keycloak->Browser,Low,Not Applicable,Keycloak may be able to remotely execute code for Web Application.,,SI-10 Information Input Validation|AC-3 Access Enforcement|SI-7 Software and Information Integrity
223,Elevation by Changing the Execution Flow in Web Application,Elevation Of Privilege,Keycloak->Browser,Low,Not Applicable,An attacker may pass data into Web Application in order to change the flow of program execution within Web Application to the attacker's choosing.,,SI-10 Information Input Validation|AC-3 Access Enforcement|SI-7 Software and Information Integrity
232,Elevation Using Impersonation,Elevation Of Privilege,Flask->Vault,Low,Not Applicable,Hashicorp Vault may be able to impersonate the context of Flask Server in order to gain additional privilege.,,AC-3 Access Enforcement|IA-2 Identification and Authentication|AC-6 Least Privilege
243,Elevation Using Impersonation,Elevation Of Privilege,Vault->Flask,Low,Not Applicable,Flask Server may be able to impersonate the context of Hashicorp Vault in order to gain additional privilege.,,AC-3 Access Enforcement|IA-2 Identification and Authentication|AC-6 Least Privilege
238,Cross Site Scripting,Tampering,Vault->Flask,Low,Not Applicable,The web server 'Flask Server' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,SI-10 Information Input Validation|SC-7 Boundary Protection|SI-7 Software and Information Integrity
254,Elevation Using Impersonation,Elevation Of Privilege,DB->Flask,Low,Not Applicable,Flask Server may be able to impersonate the context of PostgreSQL Service in order to gain additional privilege.,,AC-3 Access Enforcement|IA-2 Identification and Authentication|AC-6 Least Privilege
249,Cross Site Scripting,Tampering,DB->Flask,Medium,Mitigated,The web server 'Flask Server' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,SI-10 Information Input Validation|SC-7 Boundary Protection|SI-7 Software and Information Integrity
264,Elevation Using Impersonation,Elevation Of Privilege,Flask->DB,Low,Not Applicable,PostgreSQL Service may be able to impersonate the context of Flask Server in order to gain additional privilege.,,AC-3 Access Enforcement|IA-2 Identification and Authentication|AC-6 Least Privilege
284,Elevation by Changing the Execution Flow in Flask Server,Elevation Of Privilege,Vault->Flask,Low,Not Applicable,An attacker may pass data into Flask Server in order to change the flow of program execution within Flask Server to the attacker's choosing.,,SI-10 Information Input Validation|AC-3 Access Enforcement|SI-7 Software and Information Integrity
283,Flask Server May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Vault->Flask,Low,Not Applicable,Hashicorp Vault may be able to remotely execute code for Flask Server.,Non può essere pilotato dall'utente.,SI-10 Information Input Validation|AC-3 Access Enforcement|SI-7 Software and Information Integrity
282,Data Flow Generic Data Flow Is Potentially Interrupted,Denial Of Service,Vault->Flask,Low,Not Applicable,An external agent interrupts data flowing across a trust boundary in either direction.,,SC-5 Denial of Service Protection|CP-2 Contingency Plan|SC-7 Boundary Protection
281,Potential Process Crash or Stop for Flask Server,Denial Of Service,Vault->Flask,Low,Not Applicable,"Flask Server crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,SC-5 Denial of Service Protection|CP-2 Contingency Plan|SI-13 Predictable Failure Prevention
280,Data Flow Sniffing,Information Disclosure,Vault->Flask,Low,Not Applicable,"Data flowing across Generic Data Flow may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",Deploy su localhost.,SC-8 Transmission Confidentiality and Integrity|SC-13 Cryptographic Protection|SC-4 Information in Shared Resources
279,Potential Data Repudiation by Flask Server,Repudiation,Vault->Flask,Low,Mitigated,"Flask Server claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",Logging,AU-2 Audit Events|AU-3 Content of Audit Records|AU-12 Audit Generation
278,Potential Lack of Input Validation for Flask Server,Tampering,Vault->Flask,Low,Not Applicable,Data flowing across Generic Data Flow may be tampered with by an attacker. This may lead to a denial of service attack against Flask Server or an elevation of privilege attack against Flask Server or an information disclosure by Flask Server. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,,SI-10 Information Input Validation|SC-7 Boundary Protection|SI-7 Software and Information Integrity
277,Spoofing the Flask Server Process,Spoofing,Vault->Flask,Low,Not Applicable,Flask Server may be spoofed by an attacker and this may lead to information disclosure by Hashicorp Vault. Consider using a standard authentication mechanism to identify the destination process.,,IA-3 Device Identification and Authentication|SC-8 Transmission Confidentiality and Integrity|SC-23 Session Authenticity
276,Spoofing the Hashicorp Vault Process,Spoofing,Vault->Flask,Low,Not Applicable,Hashicorp Vault may be spoofed by an attacker and this may lead to unauthorized access to Flask Server. Consider using a standard authentication mechanism to identify the source process.,Tutto in locale,IA-3 Device Identification and Authentication|SC-8 Transmission Confidentiality and Integrity|SC-23 Session Authenticity
275,Elevation by Changing the Execution Flow in Hashicorp Vault,Elevation Of Privilege,Flask->Vault,Low,Not Applicable,An attacker may pass data into Hashicorp Vault in order to change the flow of program execution within Hashicorp Vault to the attacker's choosing.,,SI-10 Information Input Validation|AC-3 Access Enforcement|SI-7 Software and Information Integrity
274,Hashicorp Vault May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Flask->Vault,Low,Not Applicable,Flask Server may be able to remotely execute code for Hashicorp Vault.,Input non pilotati da utenti.,SI-10 Information Input Validation|AC-3 Access Enforcement|SI-7 Software and Information Integrity
273,Data Flow Generic Data Flow Is Potentially Interrupted,Denial Of Service,Flask->Vault,Low,Not Applicable,An external agent interrupts data flowing across a trust boundary in either direction.,,SC-5 Denial of Service Protection|CP-2 Contingency Plan|SC-7 Boundary Protection
272,Potential Process Crash or Stop for Hashicorp Vault,Denial Of Service,Flask->Vault,Low,Not Applicable,"Hashicorp Vault crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,SC-5 Denial of Service Protection|CP-2 Contingency Plan|SI-13 Predictable Failure Prevention
271,Data Flow Sniffing,Information Disclosure,Flask->Vault,Low,Not Applicable,"Data flowing across Generic Data Flow may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",Flusso in locale,SC-8 Transmission Confidentiality and Integrity|SC-13 Cryptographic Protection|SC-4 Information in Shared Resources
270,Potential Data Repudiation by Hashicorp Vault,Repudiation,Flask->Vault,Low,Mitigated,"Hashicorp Vault claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",Vault è dotato di funzioni di logging,AU-2 Audit Events|AU-3 Content of Audit Records|AU-12 Audit Generation
269,Potential Lack of Input Validation for Hashicorp Vault,Tampering,Flask->Vault,Medium,Not Applicable,Data flowing across Generic Data Flow may be tampered with by an attacker. This may lead to a denial of service attack against Hashicorp Vault or an elevation of privilege attack against Hashicorp Vault or an information disclosure by Hashicorp Vault. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,,SI-10 Information Input Validation|SC-7 Boundary Protection|SI-7 Software and Information Integrity
268,Spoofing the Hashicorp Vault Process,Spoofing,Flask->Vault,Medium,Not Applicable,Hashicorp Vault may be spoofed by an attacker and this may lead to information disclosure by Flask Server. Consider using a standard authentication mechanism to identify the destination process.,"Medium perché deployed su localhost, ma al di fuori servirebbe autenticazione mutua.",IA-3 Device Identification and Authentication|SC-8 Transmission Confidentiality and Integrity|SC-23 Session Authenticity
267,Spoofing the Flask Server Process,Spoofing,Flask->Vault,High,Mitigated,Flask Server may be spoofed by an attacker and this may lead to unauthorized access to Hashicorp Vault. Consider using a standard authentication mechanism to identify the source process.,"Autenticazione implementata, serve supervisione di un amministratore di sistema.",IA-3 Device Identification and Authentication|SC-8 Transmission Confidentiality and Integrity|SC-23 Session Authenticity
302,Elevation by Changing the Execution Flow in Flask Server,Elevation Of Privilege,DB->Flask,Low,Not Applicable,An attacker may pass data into Flask Server in order to change the flow of program execution within Flask Server to the attacker's choosing.,,SI-10 Information Input Validation|AC-3 Access Enforcement|SI-7 Software and Information Integrity
301,Flask Server May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,DB->Flask,Low,Not Applicable,PostgreSQL Service may be able to remotely execute code for Flask Server.,,SI-10 Information Input Validation|AC-3 Access Enforcement|SI-7 Software and Information Integrity
300,Data Flow Generic Data Flow Is Potentially Interrupted,Denial Of Service,DB->Flask,Low,Not Applicable,An external agent interrupts data flowing across a trust boundary in either direction.,,SC-5 Denial of Service Protection|CP-2 Contingency Plan|SC-7 Boundary Protection
299,Potential Process Crash or Stop for Flask Server,Denial Of Service,DB->Flask,Low,Not Applicable,"Flask Server crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,SC-5 Denial of Service Protection|CP-2 Contingency Plan|SI-13 Predictable Failure Prevention
298,Data Flow Sniffing,Information Disclosure,DB->Flask,Medium,Mitigated,"Data flowing across Generic Data Flow may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",Localhost + Encryption,SC-8 Transmission Confidentiality and Integrity|SC-13 Cryptographic Protection|SC-4 Information in Shared Resources
297,Potential Data Repudiation by Flask Server,Repudiation,DB->Flask,Low,Mitigated,"Flask Server claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,AU-2 Audit Events|AU-3 Content of Audit Records|AU-12 Audit Generation
296,Potential Lack of Input Validation for Flask Server,Tampering,DB->Flask,Medium,Mitigated,Data flowing across Generic Data Flow may be tampered with by an attacker. This may lead to a denial of service attack against Flask Server or an elevation of privilege attack against Flask Server or an information disclosure by Flask Server. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,Query correttamente validate,SI-10 Information Input Validation|SC-7 Boundary Protection|SI-7 Software and Information Integrity
295,Spoofing the Flask Server Process,Spoofing,DB->Flask,Medium,Needs Investigation,Flask Server may be spoofed by an attacker and this may lead to information disclosure by PostgreSQL Service. Consider using a standard authentication mechanism to identify the destination process.,Da mitigare autenticazione mutua.,IA-3 Device Identification and Authentication|SC-8 Transmission Confidentiality and Integrity|SC-23 Session Authenticity
